[Jan/20/2020 | 13:20:11.189] [LOG]    			 94335/2337491 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 13:20:13.450] [LOG]    94335|2337491|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:20:14.215] [LOG]    Starting 2019-11-06
[Jan/20/2020 | 13:20:14.216] [LOG]    2 results for 2019-11-06
[Jan/20/2020 | 13:20:17.366] [LOG]    			 94316/2337415 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 13:20:19.615] [LOG]    94316|2337415|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:20:21.359] [LOG]    |2335777|2019-11-04 imported to Match table.
[Jan/20/2020 | 13:20:27.242] [LOG]    |2335778|2019-11-04 imported to Match table.
[Jan/20/2020 | 13:20:32.137] [LOG]    Starting 2019-11-07
[Jan/20/2020 | 13:20:32.137] [LOG]    15 results for 2019-11-07
[Jan/20/2020 | 13:20:32.143] [LOG]    Downloaded from 2019-11-01 to 2019-11-07
[Jan/20/2020 | 13:20:37.639] [LOG]    |2337545 archive downloaded
[Jan/20/2020 | 13:20:37.640] [LOG]    |2337545 Extracting . . .
[Jan/20/2020 | 13:20:43.544] [LOG]    |2337558 starting download. . .
[Jan/20/2020 | 13:20:46.236] [LOG]    ERROR!! Rolling back...
[Jan/20/2020 | 13:20:46.238] [LOG]    94384|2337545|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:21:30.190] [LOG]    |2335780|2019-11-06 imported to Match table.
[Jan/20/2020 | 13:21:36.307] [LOG]    |2337455|2019-11-07 imported to Match table.
[Jan/20/2020 | 13:21:38.551] [LOG]    			 94394/2337545 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 13:21:40.695] [LOG]    94394|2337545|2019-11-01 imported to Map table.
[Jan/20/2020 | 13:21:48.154] [LOG]    |2337454|2019-11-07 imported to Match table.
[Jan/20/2020 | 13:21:55.090] [LOG]    |2337452|2019-11-07 imported to Match table.
[Jan/20/2020 | 13:22:00.226] [LOG]    |2337451|2019-11-07 imported to Match table.
[Jan/20/2020 | 13:22:06.220] [LOG]    |2337449|2019-11-06 imported to Match table.
[Jan/20/2020 | 13:22:10.910] [LOG]    |2337546 archive downloaded
[Jan/20/2020 | 13:22:10.910] [LOG]    |2337546 Extracting . . .
[Jan/20/2020 | 13:22:11.066] [LOG]    |2337449 starting download. . .
[Jan/20/2020 | 13:22:27.646] [LOG]    |2337450|2019-11-06 imported to Match table.
[Jan/20/2020 | 13:22:35.505] [LOG]    |2335781|2019-11-06 imported to Match table.
[Jan/20/2020 | 13:39:54.844] [LOG]    94420|2337546 1 Orphan(s) found
[Jan/20/2020 | 13:39:54.848] [LOG]    94420|2337546 1 Orphan(s) found
[Jan/20/2020 | 13:43:03.836] [LOG]    94420|2337546|2019-11-02 imported to Map table.
[Jan/20/2020 | 13:46:28.792] [LOG]    94417|2337546|2019-11-02 imported to Map table.
[Jan/20/2020 | 13:50:19.968] [LOG]    94419|2337546|2019-11-02 imported to Map table.
[Jan/20/2020 | 14:26:22.049] [LOG]    |2337449 archive downloaded
[Jan/20/2020 | 14:26:22.050] [LOG]    |2337449 Extracting . . .
[Jan/20/2020 | 14:26:22.617] [LOG]    |2337486 starting download. . .
[Jan/20/2020 | 14:36:36.758] [LOG]    			 94677/2337449 Fetched matchMapStats. (No orphans found.)
